hotel_bep_s,商企通服务端,hotel_bep,,
hotel_bep_s_fenxiao,分销平台,hotel_bep_s,,
hotel_bep_s_tmc,商旅平台,hotel_bep_s,,
hotel_bep_s_canyin,餐饮平台,hotel_bep_s,,
hotel_buship,汽车船,hotel,,
hotel_buship_fe,汽车船前端,hotel_buship,,
hotel_phx,榛果民宿,hotel,,
hotel_phx_ios,榛果民宿iOS,hotel_phx,,
hotel_phx_android,榛果民宿Android,hotel_phx,,
hotel_phx_s,榛果民宿服务端,hotel_phx,,
hotel_phx_s_gateway,gateway,hotel_phx_s,,
hotel_phx_s_market,market,hotel_phx_s,,
hotel_phx_s_order,order,hotel_phx_s,,
hotel_phx_s_product,product,hotel_phx_s,,
hotel_phx_s_search,search,hotel_phx_s,,
hotel_phx_s_user,user,hotel_phx_s,,
hotel_phx_i,榛果民宿i版,hotel_phx,,
hotel_phx_pc, 榛果民宿PC,hotel_phx,,
hotel_schema,酒旅架构,hotel,,
movie,猫眼电影,__root,,
movie_bigdata,大数据部,movie,,
movie_bigdata,服务端,movie_bigdata,,
movie_merchant,商业研发部,movie,,
movie_merchant_operation,商业运营平台组,movie_merchant,,
movie_merchant_develop,商品研发组,movie_merchant,,
movie_merchant_tradebase,交易基础组,movie_merchant,,
movie_merchant_prosrv,专业服务,movie_merchant,,
movie_merchant_supplychain,供应链研发,movie_merchant,,
movie_merchant_web,商业前端组,movie_merchant,,
movie_media,媒体研发部,movie,,
movie_media_server,服务端,movie_media,,
movie_media_fe,前端,movie_media,,
movie_media_android,Android,movie_media,,
movie_media_ios_swift,iOS-swift,movie_media,,
movie_media_ios_clang,iOS-clang,movie_media,,
movie_paid,选座交易研发部,movie,,
movie_paid_server,服务端,movie_paid,,
movie_paid_fe,前端,movie_paid,,
movie_paid_ios_swift,iOS-swift,movie_paid,,
movie_paid_android,Android,movie_paid,,
movie_paid_ios_clang,iOS-clang,movie_paid,,
movie_pro,专业版研发部,movie,,
movie_pro_server,服务端,movie_pro,,
movie_pro_fe,前端,movie_pro,,
movie_pro_ios_swift,iOS-swift,movie_pro,,
movie_pro_android,Android,movie_pro,,
movie_pro_ios_clang,iOS-clang,movie_pro,,
movie_public,公共服务,movie,,
movie_public_server,服务端,movie_public,,
movie_public_fe,前端,movie_public,,
movie_moviesh,上海研发部,movie,,
movie_moviesh_mv,上海电影频道,movie_moviesh,,
movie_moviesh_show,上海演出频道,movie_moviesh,,
movie_xuanwu,玄武研发部,movie,,
movie_xuanwu_server,服务端,movie_xuanwu,,
movie_xuanwu_fe,前端,movie_xuanwu,,
tne,技术工程部,__root,,
tne_rc,北京业务安全,tne,,
tne_ep,工程质量组,tne,,
tne_ep_quake,quake,tne_ep,,
tne_inf,基础架构组,tne,,
tne_inf_image,Imagerserver,tne_inf,,
tne_inf_hulk_imageuploader,imageuploader,tne_inf_image,,
tne_inf_hulk_imageclient,imageclient,tne_inf_image,,
tne_inf_hulk,HULK,tne_inf,,
tne_inf_hulk_banner_banner,hulk_banner_banner,tne_inf_hulk,,
tne_inf_hulk_captain-server,hulk_captain-server,tne_inf_hulk,,
