qcs.inf.push,taoxin,技术研发部-架构组,qcs_trd_arch
qcs.inf.xlog,ray.lv,技术研发部-架构组,qcs_trd_arch
qcs.lbs.lib,chenyang33,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.inf.xchannel.client,kexi,技术研发部-架构组,qcs_trd_arch
qcs.fe.r,zhangjinling02,终端研发部-前端组-用户体验组,qcs_trml_fe_ue
qcs.m.unify_arch.demo,lidan14,技术研发部-M端组,qcs_trd_m
qcs.ios.emergency,lvtianran,终端研发部-客户端组-乘客端iOS组,qcs_trml_c_cios
qcs.lbs.geofencing,zhaoshibing,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.mobile.tools.automate,shikeqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.growth.api,liucaisi,技术研发部-运营端组,qcs_trd_oe
qcs.ios.uicomponents,xudongsheng05,终端研发部-客户端组-基础设施组,qcs_trml_c_ic
qcs.lbs.mongo.spark,huyunfeng03,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.r.android.face.plus,shihongyu,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.lbs.nearby,huyunfeng03,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.manager.operate.rest,zhengshaogang,技术研发部-乘客端组,qcs_trd_c
qcs.fe.c,lvxiaobao,终端研发部-前端组-用户体验组,qcs_trml_fe_ue
qcs.lbs.gisview,grace,LBS研发部-位置大数据组,qcs_lbs_lbd
qcs.ios.longpolling,haoshenyang,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.r.android.navigation,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.android.homepage,shikeqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.finance.settle.engine,gaoyang09,技术研发部-结算组,qcs_trd_settle
qcs.r.android.network,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.lbs.heatmap,wangmian03,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.r.android.knb,shihongyu,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.fe.pc.common,linxiaoqian02,终端研发部-前端组-运营管理组,qcs_trml_fe_om
qcs.r.android.neworder,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.fe.skyscraper,fuxiaosong,终端研发部-前端组-用户体验组,qcs_trml_fe_ue
qcs.r.android.location,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.android.ordercenter,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.growth.sendcoupon,shangxuefeng,技术研发部-运营端组,qcs_trd_oe
qcs.fe.xmq,linxiaoqian02,终端研发部-前端组-运营管理组,qcs_trml_fe_om
qcs.ios.platform,wangzhengyi,终端研发部-客户端组-乘客端iOS组,qcs_trml_c_cios
qcs.r.android.login,shenzhixin,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.android.onroad,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.c.api.order,songzhihao,技术研发部-乘客端组,qcs_trd_c
qcs.r.android.toolkit,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.android.orderdetail,shikeqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.inf.xpolling,ray.lv,技术研发部-架构组,qcs_trd_arch
qcs.r.ios.checkabnormal,chenchen64,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.promotion.server,liangmengran,技术研发部-运营端组,qcs_trd_oe
qcs.r.android.onroadservice,liyunpeng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.android.update,shenzhixin,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.android.push,tangsheng02,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.r.ios.commandlinekit,liyafei06,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.r.ios.drivercenter,yangxinlin,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.lbs.poi,yinmaolin,LBS研发部-工具支撑组,qcs_lbs_ts
qcs.r.settle.streaming,wengshijin,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.lbs.flow,yanwenliang,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.ios.protectcrash,caoliang02,终端研发部-客户端组-乘客端iOS组,qcs_trml_c_cios
qcs.r.android.usercenter,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.mq,ray.lv,技术研发部-架构组,qcs_trd_arch
qcs.price.server,yuanzengbao,技术研发部-乘客端组,qcs_trd_c
qcs.regulation.bj.client,sunshichao,技术研发部-司机端组,qcs_trd_d
qcs.r.android,liuhuan51,终端研发部-客户端组-LBS组,qcs_trml_c_lbs
qcs.regulation.chengdu,shangxuefeng,技术研发部-运营端组,qcs_trd_oe
qcs.regulation.light,meidong,技术研发部-司机端组,qcs_trd_d
qcs.r.ios.locationreport,lixiaowen08,终端研发部-客户端组-LBS组,qcs_trml_c_lbs
qcs.promotion.client,liangmengran,技术研发部-运营端组,qcs_trd_oe
qcs.r.android.base,songdanqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
qcs.regulation.wenzhou,xingruibo,技术研发部-乘客端组,qcs_trd_c
qcs.regulation.shanghai,ray.lv,技术研发部-架构组,qcs_trd_arch
qcs.parttime.server,shangxuefeng,技术研发部-运营端组,qcs_trd_oe
qcs.promotion.stat,liqinlong,技术研发部-运营端组,qcs_trd_oe
qcs.manager.rpc,hunter,技术研发部-运营端组,qcs_trd_oe
qcs.lbs.trail,yangshuai05,LBS研发部-核心引擎组,qcs_lbs_ce
qcs.regulation.nanjing,tanxiaolei,技术研发部-乘客端组,qcs_trd_c
qcs.ios.foundation,liyafei06,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.r.ios.services,liyafei06,终端研发部-客户端组-司机端iOS组,qcs_trml_c_dios
qcs.c.api.report,zhengshaogang,技术研发部-乘客端组,qcs_trd_c
qcs.risk.rt.flink,heyue05,风控部-技术组,qcs_rcd_tech
qcs.regulation.dispatch,yinfuqing,技术研发部-M端组,qcs_trd_m
qcs.r.android.detection,shikeqi,终端研发部-客户端组-司机端安卓组,qcs_trml_c_dandroid
